BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,ABERDEEN,ABERDEEN,6270
EASTERN CAPE,ABERDEEN,ANSFRERE,6270
EASTERN CAPE,ABERDEEN,BALVINIE,6270
EASTERN CAPE,ABERDEEN,BERGVLIET,7864
EASTERN CAPE,ABERDEEN,CONSTANTIAKLOOF,6270
EASTERN CAPE,ABERDEEN,CONSTANTIAVALE,6270
EASTERN CAPE,ABERDEEN,CONVILLE,6270
EASTERN CAPE,ABERDEEN,LOTUSVILLE,6270
EASTERN CAPE,ACTON CABA,ACTON CABA,5401
EASTERN CAPE,ADDO,ADDO,6105
EASTERN CAPE,ADDO,OLIFANTPARK,6109
EASTERN CAPE,ADDO,SUNLAND,6115
EASTERN CAPE,ADELAIDE,ADELAIDE,5760
EASTERN CAPE,ADELAIDE,BEZUIDENHOUTVILLE,5760
EASTERN CAPE,ADENDORP,ADENDORP,6282
EASTERN CAPE,ADVENT,ADVENT,5092
EASTERN CAPE,ALBERT RD,ALBERT RD,7930
EASTERN CAPE,ALEXANDRIA,ALEXANDRIA,6185
EASTERN CAPE,ALEXANDRIA,NOORDHEUWEL,6185
EASTERN CAPE,ALICE,ALICE,5700
EASTERN CAPE,ALICE,FORT HARE,5701
EASTERN CAPE,ALICE,HAPPY REST,5700
EASTERN CAPE,ALICEDALE,ALICEDALE ESTATE,7764
EASTERN CAPE,ALICEDALE,ALICEDALE,7764
EASTERN CAPE,ALICEDALE,BUSHMANS SANDS GOLF ESTATE,7764
EASTERN CAPE,ALIWAL NORTH,ALIWAL NORTH,5530
EASTERN CAPE,ALIWAL NORTH,ARBOR VIEW,5530
EASTERN CAPE,ALIWAL NORTH,BUFFALO BRON,5530
EASTERN CAPE,ALIWAL NORTH,DUKATHOLE,5530
EASTERN CAPE,ALIWAL NORTH,HELVETIA,5530
EASTERN CAPE,ALIWAL NORTH,HILTON,5530
EASTERN CAPE,ALIWAL NORTH,ORANJEZICHT,5530
EASTERN CAPE,ALL SAINTS,ALL SAINTS,5052
EASTERN CAPE,AMABELE,AMABELE,4931
EASTERN CAPE,ASKEATON,ASKEATON,5413
EASTERN CAPE,BALFOUR,BALFOUR,5740
EASTERN CAPE,BARKLY EAST,BARKLY EAST,5580
EASTERN CAPE,BARKLY EAST,FAIRVIEW,9786
EASTERN CAPE,BARKLY EAST,RHODES,9787
EASTERN CAPE,BATHURST,BATHURST,6166
EASTERN CAPE,BEDFORD,BEDFORD,5780
EASTERN CAPE,BISHO,AMATOLA GARDENS,5605
EASTERN CAPE,BISHO,AMATOLA VIEW,5604
EASTERN CAPE,BISHO,BISHO GARDENS,5605
EASTERN CAPE,BISHO,BISHO PARK,5605
EASTERN CAPE,BISHO,BISHO,5605
EASTERN CAPE,BISHO,CENTRAL,5605
EASTERN CAPE,BISHO,DIMBAZA WEST,5671
EASTERN CAPE,BISHO,DIMBAZA,5671
EASTERN CAPE,BISHO,ILITHA,5606
EASTERN CAPE,BISHO,LOLO PARK,5605
EASTERN CAPE,BISHO,TYU TYU,5605
EASTERN CAPE,BIZANA,BIZANA,4800
EASTERN CAPE,BOESMANSRIVIERMOND,BOESMANSRIVIERMOND,6190
EASTERN CAPE,BOESMANSRIVIERMOND,NATURES LANDING,6190
EASTERN CAPE,BOESMANSRIVIERMOND,RIVERSBEND,6190
EASTERN CAPE,BOJENI,BOJENI,5042
EASTERN CAPE,BOKNESSTRAND,BOKNESSTRAND,6189
EASTERN CAPE,BOLOTWA,BOLOTWA,5325
EASTERN CAPE,BOTTERKLOOF,BOTTERKLOOF,6673
EASTERN CAPE,BURGERSDORP,BURGERSDORP,9744
EASTERN CAPE,BURGERSDORP,HARMONIE,5520
EASTERN CAPE,BURGERSDORP,MZAMOMHLE,5520
EASTERN CAPE,BUTTERWORTH,BUTTERWORTH,4960
EASTERN CAPE,BUTTERWORTH,FORT MALAN,5013
EASTERN CAPE,CALA,CALA,5455
EASTERN CAPE,CANNON ROCKS,CANNON ROCKS,6186
EASTERN CAPE,CANNON ROCKS,STILLEWATER,6186
EASTERN CAPE,CAPE ST FRANCIS,CAPE ST FRANCIS,6312
EASTERN CAPE,CATHCART,CATHCART,5310
EASTERN CAPE,COFFEE BAY,COFFEE BAY,5082
EASTERN CAPE,COFFEE BAY,HOLE IN THE WALL,5082
EASTERN CAPE,COFFEE BAY,MDUMBI,5082
EASTERN CAPE,COFIMVABA,COFIMVABA,5380
EASTERN CAPE,COFIMVABA,KEYLOCK,5329
EASTERN CAPE,COFIMVABA,SEPLAN,5377
EASTERN CAPE,COFIMVABA,SOUTHEYVILLE,5375
EASTERN CAPE,COLCHESTER,COLCHESTER,6175
EASTERN CAPE,COOKHOUSE,COOKHOUSE,5820
EASTERN CAPE,COOKHOUSE,KLIPFONTEIN,5824
EASTERN CAPE,CRADOCK,BARODA,5882
EASTERN CAPE,CRADOCK,CRADOCK,5880
EASTERN CAPE,CRADOCK,CULLDENE,5880
EASTERN CAPE,CRADOCK,HEUNING KRANS,5880
EASTERN CAPE,CRADOCK,LINGELIHLE,5880
EASTERN CAPE,CRADOCK,MICHAUSDAL,5880
EASTERN CAPE,CRADOCK,MORTIMER,5870
EASTERN CAPE,CRADOCK,MOUNTAIN VIEW,5880
EASTERN CAPE,CRADOCK,RUSOORD,5880
EASTERN CAPE,DESPATCH,AZALEA PARK,6220
EASTERN CAPE,DESPATCH,BOTHASRUS,6220
EASTERN CAPE,DESPATCH,CAMPHER PARK,6220
EASTERN CAPE,DESPATCH,CENTRAL,6220
EASTERN CAPE,DESPATCH,DALEVIEW,6220
